Time:ulong,Power:float,Energy:float
"14573000000","13.42737","72596.9"
"14573500000","13.42737","72603.7"
"14574000000","13.42737","72610.4"
"14574500000","13.42737","72617.1"
"14575000000","13.42737","72623.8"
"14575500000","13.42737","72630.5"
"14576000000","13.42737","72637.2"
"14576500000","13.42737","72643.9"
"14577000000","13.42737","72650.7"
"14577500000","13.42737","72657.4"
"14578000000","13.25016","72664.1"
"14578500000","13.25016","72670.4"
"14579000000","13.25016","72677.2"
"14579500000","13.25016","72683.9"
"14580000000","13.42737","72690.6"
"14580500000","13.42737","72697.3"
"14581000000","13.42737","72704.0"
"14581500000","13.42737","72710.7"
"14582000000","13.42737","72717.4"
"14582500000","13.42737","72724.1"
"14583000000","13.42737","72730.9"
"14583500000","13.42737","72737.6"
"14584000000","13.42737","72744.3"
"14584500000","13.42737","72751.0"
"14585000000","13.42737","72757.7"
"14585500000","13.42737","72764.4"
"14586000000","13.42737","72771.1"
"14586500000","13.42737","72777.9"
"14587000000","13.42737","72784.6"
"14587500000","13.42737","72791.3"
"14588000000","13.42737","72798.0"
"14588500000","13.42737","72804.7"
"14589000000","13.42737","72811.4"
"14589500000","13.42737","72818.1"
"14590000000","13.42737","72824.9"
"14590500000","13.42737","72831.6"
"14591000000","13.42737","72838.3"
"14591500000","13.42737","72845.0"
"14592000000","13.42737","72851.7"
"14592500000","13.42737","72858.4"
"14593000000","13.42737","72865.1"
"14593500000","13.42737","72871.8"
"14594000000","13.42737","72878.6"
"14594500000","13.42737","72884.9"
"14595000000","13.42737","72892.0"
"14595500000","13.42737","72898.7"
"14596000000","13.25016","72905.1"
"14596500000","13.25016","72911.8"
"14597000000","13.25016","72918.5"
"14597500000","13.25016","72925.2"
"14598000000","13.42737","72931.9"
"14598500000","13.42737","72938.6"
"14599000000","13.42737","72945.3"
"14599500000","13.42737","72952.1"
"14600000000","13.42737","72958.8"
"14600500000","13.42737","72965.5"
"14601000000","13.42737","72972.2"
"14601500000","13.42737","72978.9"
"14602000000","13.42737","72985.6"
"14602500000","13.42737","72992.3"
"14603000000","13.42737","72999.1"
"14603500000","13.42737","73005.8"
"14604000000","13.42737","73012.5"
"14604500000","13.42737","73019.2"
"14605000000","13.42737","73025.9"
"14605500000","13.42737","73032.6"
"14606000000","13.42737","73039.3"
"14606500000","13.42737","73046.0"
"14607000000","13.42737","73052.8"
"14607500000","13.42737","73059.5"
"14608000000","13.25016","73066.2"
"14608500000","13.25016","73072.9"
"14609000000","13.25016","73079.6"
"14609500000","13.25016","73086.0"
"14610000000","13.42737","73093.0"
"14610500000","13.42737","73099.4"
"14611000000","13.42737","73106.1"
"14611500000","13.42737","73112.8"
"14612000000","13.42737","73119.5"
"14612500000","13.42737","73126.3"
"14613000000","13.42737","73133.0"
"14613500000","13.42737","73139.7"
"14614000000","13.42737","73146.4"
"14614500000","13.42737","73153.1"
